H2-IAb,H2-IAd,HLA-DPB1_0201,HLA-DQB1_0302,HLA-DQB1_0602 ,HLA-DRB1_0101,HLA-DRB1_0301,HLA-DRB1_0401,HLA-DRB1_0404,HLA-DRB1_0405,HLA-DRB1_0701,HLA-DRB1_0802,HLA-DRB1_0901,HLA-DRB1_1001,HLA-DRB1_1101,HLA-DRB1_1301,HLA-DRB1_1501,HLA-DRB3_0101,HLA-DRB3_0202,HLA-DRB4_0101
0.62772,0.557334,0.385986,0.348487,0.760014,0.45648,0.502316,0.265169,0.45673,0.519243,0.747094,0.423926,0.597377,0.756259,0.343859,0.332492,0.271733,0.490815,0.373926,0.385433
0.487442,0.720699,0.218867,0.28992,0.304927,0.542771,0.620173,0.594595,0.6607,0.535881,0.574063,0.516596,0.550061,0.54914,0.30462,0.347481,0.47079,0.661198,0.252353,0.389878
0.260953,0.704893,0.7868,0.383223,0.550932,0.509987,0.510991,0.489352,0.612147,0.584629,0.430067,0.565478,0.660346,0.594851,0.373625,0.224007,0.441827,0.407177,0.42619,0.496976
0.267792,0.444781,0.571106,0.341828,0.619531,0.652449,0.382838,0.490276,0.612147,0.586536,0.716091,0.566483,0.760094,0.78071,0.371144,0.306801,0.520961,0.418467,0.661426,0.485623
0.629617,0.340476,0.242701,0.340104,0.605304,0.703137,0.520373,0.628692,0.654746,0.671905,0.606635,0.498065,0.640389,0.596332,0.378789,0.693983,0.126967,0.295013,0.343427,0.562115
0.630474,0.443342,0.487207,0.382529,0.2016,0.570362,0.456812,0.711033,0.625994,0.527378,0.405387,0.658316,0.583667,0.682375,0.520338,0.658232,0.526557,0.573004,0.291911,0.506143
0.607844,0.574618,0.45588,0.342054,0.49876,0.381695,0.449349,0.511499,0.334536,0.671905,0.584171,0.411055,0.721385,0.67823,0.177417,0.523881,0.594556,0.59541,0.385132,0.532935
0.57581,0.585942,0.678317,0.231782,0.560398,0.417291,0.382838,0.265169,0.545478,0.561801,0.760129,0.575866,0.576207,0.475104,0.351539,0.727977,0.31817,0.39958,0.199146,0.468318
0.527515,0.343506,0.700078,0.380213,0.400866,0.335764,0.460176,0.503047,0.408567,0.53903,0.438933,0.510605,0.621827,0.652748,0.22463,0.525721,0.608567,0.502459,0.713726,0.584268
0.612544,0.465066,0.47738,0.372201,0.381817,0.308892,0.206716,0.548669,0.461954,0.608823,0.485887,0.566483,0.660346,0.785579,0.158619,0.668104,0.133301,0.274115,0.505012,0.664238
0.649025,0.514835,0.569117,0.333844,0.550845,0.372658,0.347997,0.503047,0.569207,0.505059,0.612261,0.498065,0.760094,0.759221,0.253935,0.62442,0.323544,0.290216,0.576508,0.56187
0.629026,0.414797,0.711002,0.314223,0.241142,0.430082,0.515222,0.615622,0.545155,0.576581,0.740401,0.658316,0.623092,0.70789,0.463633,0.593447,0.395115,0.521972,0.680892,0.545118
0.62772,0.558227,0.462397,0.323425,0.380274,0.432059,0.332745,0.265169,0.584582,0.303875,0.694443,0.45891,0.583667,0.674137,0.180387,0.456762,0.408656,0.440905,0.568515,0.573911
0.590439,0.48142,0.476925,0.335749,0.495839,0.281026,0.364312,0.503047,0.38325,0.491869,0.63852,0.497097,0.608105,0.592539,0.371144,0.310138,0.409666,0.739553,0.583309,0.702111
0.633978,0.607073,0.502691,0.298165,0.579435,0.270678,0.422904,0.67314,0.457504,0.499614,0.694443,0.584003,0.600392,0.66038,0.371144,0.444745,0.34117,0.414002,0.745391,0.531614
0.370663,0.50914,0.432917,0.3149,0.636239,0.349171,0.402379,0.583825,0.632778,0.357427,0.612261,0.48562,0.679612,0.634566,0.442163,0.536747,0.289003,0.436691,0.503478,0.674717
0.488001,0.509528,0.5399,0.254835,0.655972,0.273632,0.402272,0.556372,0.545781,0.630172,0.522844,0.563929,0.546721,0.662902,0.371144,0.352141,0.11769,0.465834,0.525444,0.621487
0.376488,0.574618,0.623008,0.411717,0.565806,0.25074,0.366996,0.669391,0.603165,0.588939,0.532388,0.562108,0.445895,0.571624,0.371144,0.560756,0.137436,0.359374,0.533045,0.452423
0.50212,0.607073,0.487752,0.421924,0.579476,0.250429,0.530329,0.574478,0.452991,0.419036,0.434241,0.512519,0.528794,0.733827,0.371144,0.542644,0.124671,0.499651,0.830646,0.372814
0.488001,0.642001,0.692833,0.300365,0.522301,0.318117,0.606571,0.564043,0.610459,0.453709,0.637251,0.411055,0.621827,0.808004,0.521128,0.590383,0.28682,0.571913,0.458393,0.56596
0.603918,0.585942,0.518218,0.327026,0.464611,0.355095,0.356763,0.53986,0.503087,0.480142,0.653458,0.470259,0.60829,0.630341,0.547143,0.627752,0.335322,0.752127,0.675634,0.694131
0.327321,0.667253,0.546218,0.280996,0.406625,0.265995,0.617056,0.755471,0.673579,0.422383,0.772163,0.606822,0.466932,0.552151,0.521128,0.563816,0.380766,0.623786,0.68435,0.569837
0.433422,0.50914,0.49995,0.200764,0.493138,0.315318,0.576429,0.221431,0.48407,0.419809,0.574706,0.563178,0.627086,0.624465,0.521128,0.58517,0.404161,0.368637,0.417617,0.548895
0.550268,0.399166,0.649813,0.268102,0.414171,0.277985,0.337192,0.454652,0.568723,0.679484,0.626823,0.347277,0.479543,0.754381,0.530316,0.593447,0.201744,0.784521,0.773505,0.578605
0.567663,0.535481,0.700152,0.319332,0.426758,0.403401,0.312856,0.65759,0.577329,0.632738,0.70613,0.47939,0.564368,0.720093,0.485493,0.581527,0.318533,0.646355,0.447494,0.684917
0.497346,0.704893,0.555306,0.322402,0.58864,0.51131,0.435423,0.536821,0.676644,0.515415,0.612261,0.449226,0.575043,0.629666,0.649894,0.593447,0.613778,0.529911,0.476302,0.604096
0.223152,0.582205,0.470609,0.325384,0.466005,0.258829,0.507859,0.574478,0.698585,0.447016,0.644632,0.473418,0.647901,0.709246,0.601877,0.565011,0.611987,0.654218,0.493346,0.554067
0.550977,0.478078,0.493607,0.312015,0.438469,0.618763,0.383071,0.564043,0.42378,0.353914,0.531147,0.418964,0.59298,0.68703,0.610009,0.31459,0.244193,0.5976,0.662487,0.589498
0.513038,0.313213,0.585373,0.319325,0.414283,0.514832,0.608936,0.755471,0.418487,0.524638,0.637251,0.387482,0.523026,0.633197,0.693191,0.577717,0.404155,0.575396,0.691198,0.529129
0.378197,0.409248,0.519818,0.301468,0.668079,0.618763,0.43296,0.563221,0.504558,0.451161,0.772163,0.44667,0.380387,0.745623,0.573497,0.45966,0.613778,0.626232,0.401509,0.495513
