Protein IDs,Protein names,Gene names,Control-LFQ intensity P18,Control-LFQ intensity P19,Control-LFQ intensity P20,Di-LFQ intensity P18,Di-LFQ intensity P19,Di-LFQ intensity P20,mean_ctrl,mean_treat,log2FC (treat:ctrl)
Q6NUM7;A0A024R640;Q9NUQ2,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,AGPAT5,119690,196793,145850,157110,181292,165883,154111,168095,0.125306971
Q9Y2I7;V9HWG4,1-phosphatidylinositol 3-phosphate 5-kinase,PIKFYVE;HEL37,1000,1000,1000,9485.7,11038,10129,1000,10217.56667,3.352979751
Q00722;Q00722-3;Q00722-2;Q59F77;H0YNI4;Q9BVT6;Q6ZNQ9,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2;Phosphoinositide phospholipase C",PLCB2,13849,15480,14323,34038,39920,28690,14550.66667,34216,1.233585858
Q15147-2;Q15147;Q15147-5,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4",PLCB4,1000,1000,1000,22401,27346,27188,1000,25645,4.680605666
Q4KWH8;A0A2U3TZV8;Q4KWH8-2;Q4KWH8-3;Q4KWH8-4,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",PLCH1,10298,7689.6,11343,1000,1000,1000,9776.866667,1000,-3.289372178
O75038-2;Q86YU9;O75038-4;O75038;B9DI82;O75038-3;A2VCM4;O75038-5,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2;Phosphoinositide phospholipase C",PLCH2;FLJ00414,20174,16509,22176,18964,23203,19054,19619.66667,20407,0.056763579
F2Z3J2,26S proteasome non-ATPase regulatory subunit 5 ,PSMD5,23005,21470,17390,1000,1000,1000,20621.66667,1000,-4.366089033
P82673;H0YG82;P82673-2,"28S ribosomal protein S35, mitochondrial",MRPS35,30183,28540,32189,25049,40002,32940,30304,32663.66667,0.108178514
H0Y8X4;O43598-2;O43598,2-deoxynucleoside 5-phosphate N-hydrolase 1,DNPH1,1000,1000,1000,20172,18796,22190,1000,20386,4.349506822
Q02218;B4DZ95;B4E3E9;B4DH65;E9PFG7;B4DK55;B4DF00;E9PDF2;E9PCR7;Q02218-2;A0A0D9SFS3,"2-oxoglutarate dehydrogenase, mitochondrial",OGDH,1000,1000,1000,24858,18790,20395,1000,21347.66667,4.416006485
A0A024RD44;Q5T653,"39S ribosomal protein L2, mitochondrial",MRPL2,180384,137890,120799,1000,1000,1000,146357.6667,1000,-7.19335451
Q9NWU5;J3KQY1;E7ESL0,"39S ribosomal protein L22, mitochondrial",MRPL22,30284,23289,29607,1000,1000,1000,27726.66667,1000,-4.793202279
Q9BYC8;A4D1V4;B3KQX1;H7BZU9,"39S ribosomal protein L32, mitochondrial",MRPL32,28954,34933,21304,29406,21940,30018,28397,27121.33333,-0.066310419
F2Z2Q6,"3-ketoacyl-CoA thiolase, peroxisomal ",ACAA1,17844,13050,21738,1000,1000,1000,17544,1000,-4.132905812
P62273;A0A087WTT6,40S ribosomal protein S29,RPS29,1000,1000,1000,7695.6,10035,9836.2,1000,9188.933333,3.199897401
Q8IZH2;Q8IZH2-2;H7C5E4;Q8IZH2-3,5-3 exoribonuclease 1,XRN1,30475,27689,37769,30183,38970,32796,31977.66667,33983,0.087748546
Q8NCK6;Q9UGJ0;F8WDA1;A0A494C155;A0A090N8Q6,5-AMP-activated protein kinase subunit gamma-2,PRKAG2,14638,12900,18796,19950,20017,16578,15444.66667,18848.33333,0.287328224
H0Y9N5,60 kDa SS-A/Ro ribonucleoprotein (Fragment) ,TROVE2,23098,18938,14218,1000,1000,1000,18751.33333,1000,-4.228921278
